CO_CEP,Latitude,Longitude
21350180,-22.9080777,-43.1790268
18406232,-23.9929528,-48.8738052
95170484,-29.2189937,-51.3405189
13911014,-22.7243995,-47.0097048
54340100,-8.1165339,-35.0199865
37048080,-21.5565914,-45.4340674
72601310,-15.7508868,-47.9250462
13092510,-22.9056391,-47.059564
81940305,-25.567738,-49.2862971
1423000,-23.5383214,-46.6391624
13185220,-22.9009729,-47.2379472
44630000,-11.7111464,-40.150526
29398000,-20.3284985,-41.6352592
41706730,-12.9822499,-38.4812772
35171063,-19.4885127,-42.6318289
69098379,1.9635842,-67.7824958
85250000,-24.4381225,-51.9466136
5016080,-23.5383214,-46.6391624
13202544,-23.1814232,-46.8962348
46860000,-12.7672074,-40.2106427
13209465,-23.1814232,-46.8962348
85813300,-24.9554996,-53.4560544
59139030,-5.8193078,-35.2126281
13569181,-21.993173,-47.3333435
65716000,-4.4424948,-45.2411404
66825585,-1.45056,-48.4682453
58069435,-7.2095913,-34.8407411
59037400,-5.8193078,-35.2126281
52011030,-8.0489846,-34.900499
28545000,-21.9880299,-42.2546051
8780670,-23.5521163,-46.2342052
86390000,-23.0405155,-50.0765066
82410530,-25.3707545,-49.3209953
26167240,-22.7044446,-43.3938041
4618003,-23.5383214,-46.6391624
22280020,-22.9537445,-43.1883695
9390090,-23.6818722,-46.4655555
57046144,-9.6128402,-35.7270794
2260030,-23.468802,-46.582627
95043230,-29.1625457,-51.1637053
58112252,-7.1460302,-34.9489279
25610081,-22.5058032,-43.1678572
86230000,-22.3460745,-48.7868649
3374000,-23.5824613,-46.5399793
12235580,-23.230156,-45.9042255
86185010,-23.2801935,-51.2805328
39403162,-16.6976459,-43.86788
14700775,-20.942381,-48.4968795
17180009,-21.8928341,-49.0226082
30550176,-19.9227318,-43.9450948
58110130,-7.1460302,-34.9489279
86720000,-23.319954,-51.552435
91560000,-30.1197915,-51.1068991
37701355,-21.7922407,-46.5943316
8380045,-23.5383214,-46.6391624
18615510,-22.8762406,-48.4248649
29725000,-19.4184537,-40.5306495
3128140,-23.5798919,-46.5849759
36700012,-21.5321404,-42.6393242
38747502,-18.9188197,-46.9568285
71881321,-15.7508868,-47.9250462
61921455,-3.8617253,-38.6543596
23094200,-22.9080777,-43.1790268
14940594,-21.7434473,-48.8556038
45028095,-14.8570284,-40.8544709
75388720,-16.6510164,-49.5060455
94450150,-30.0904386,-51.0649959
60430350,-3.744057,-38.5474655
68625180,-2.9818822,-47.3544427
75800027,-17.916215,-51.7567442
38240000,-19.9033884,-49.3666934
3346100,-23.5383214,-46.6391624
52090300,-8.0144654,-34.9289864
61620010,-3.7505052,-38.6072837
59600020,-5.2180344,-37.3412308
11089210,-23.9335988,-46.3286399
65058231,-2.5295265,-44.2963942
37957020,-20.9124331,-46.9823296
68742550,-1.2941924,-47.9483327
3142001,-23.591182,-46.575252
8190000,-23.5383214,-46.6391624
38705167,-18.5974894,-46.5233256
70390050,-15.8025758,-47.9024802
25535350,-22.7839756,-43.3457664
54490010,-8.1165339,-35.0199865
61645000,-3.7550467,-38.614981
95590000,-30.0090616,-50.152207
78505000,-10.5995196,-55.1167029
63050480,-7.2275168,-39.3329188
24310535,-22.8661647,-43.1157974
8410330,-23.5383214,-46.6391624
13634214,-21.993173,-47.3333435
5344000,-23.5383214,-46.6391624
47400000,-10.8219287,-42.7319055
5664015,-23.5383214,-46.6391624
4836130,-23.7408386,-46.7073282
27213310,-22.5103064,-44.0913535
11618357,-23.8027866,-45.4070527
31360020,-19.9227318,-43.9450948
2987060,-23.5383214,-46.6391624
32670754,-19.9504107,-44.1539131
7071010,-23.4543697,-46.5680791
13312762,-23.2637798,-47.2998462
33115650,-21.2064969,-43.7684171
20561280,-22.9080777,-43.1790268
49090070,-10.9126637,-37.0780531
88090340,-27.5973002,-48.5496098
54730370,-8.0021783,-35.0503494
35057450,-18.8598143,-41.9461414
39480000,-15.4851295,-44.3909072
58110444,-7.1460302,-34.9489279
21920230,-22.9080777,-43.1790268
88701130,-28.4741226,-49.0426777
64820000,-7.6041085,-43.0226339
11271125,-22.3718293,-46.9438281
3055000,-23.5383214,-46.6391624
8440330,-23.5383214,-46.6391624
26182040,-22.7044446,-43.3938041
44082430,-12.3434902,-38.8727273
57014070,-9.6389302,-35.7129126
49065160,-10.9126637,-37.0780531
22030002,-22.9679174,-43.1874509
41720051,-12.97318,-38.439289
36773660,-21.3118204,-42.8622128
8710680,-23.5521163,-46.2342052
22760080,-22.9080777,-43.1790268
12514020,-22.7899678,-45.1701707
7012030,-23.4727279,-46.5306944
54310600,-8.1618079,-34.9239232
4829310,-23.5383214,-46.6391624
72015597,-15.7508868,-47.9250462
85280000,-23.892073,-51.3570393
74270340,-16.680882,-49.2532691
3074000,-23.5225062,-46.5666217
13184235,-22.9008853,-47.2379747
72917624,-15.7824924,-48.2962388
7901170,-23.2820594,-46.7440357
76510000,-14.5423172,-49.9662478
4474180,-23.6997102,-46.6445277
41110010,-12.9822499,-38.4812772
8330330,-23.5383214,-46.6391624
79620250,-20.8031247,-51.7006579
54720246,-8.0062315,-35.0358011
65950000,-5.5042659,-45.2465948
96508242,-30.0024783,-52.916859
91920130,-30.1130431,-51.2489747
78058743,-15.5797554,-56.0493493
14890234,-21.2639671,-48.3533772
11086290,-23.9335988,-46.3286399
60543355,-3.7960954,-38.5995929
54777040,-7.974684,-34.9671174
8081560,-23.5383214,-46.6391624
88052810,-27.4514765,-48.4557742
66810000,-1.2973191,-48.4850365
2873250,-23.5383214,-46.6391624
88330630,-26.9982837,-48.6259119
7600211,-23.3232769,-46.5908644
27120230,-22.4653272,-43.8215615
35146000,-19.338259,-42.1562051
45203132,-13.8611251,-40.1155716
9551350,-23.6166339,-46.5787364
58304545,-7.1460643,-34.9644948
40750150,-12.9822499,-38.4812772
4548002,-23.6012848,-46.6785614
15400079,-20.736634,-48.910625
75905800,-17.7921255,-50.9191219
35420172,-20.367813,-43.4237515
8744230,-23.5435048,-46.2183882
21940020,-22.9080777,-43.1790268
2514050,-23.5383214,-46.6391624
29950000,-18.9030097,-40.0677095
65058297,-2.5295265,-44.2963942
58103689,-7.0326885,-34.8452935
32223380,-19.966415,-44.0358873
35547000,-20.558334,-44.8703774
25931758,-22.6511655,-43.0899974
8150120,-23.5383214,-46.6391624
31930540,-19.9227318,-43.9450948
8674220,-23.6630981,-46.307061
50670060,-8.0453632,-34.9357457
64804375,-6.7748373,-43.0074441
58800138,-6.7792506,-38.2384368
13900400,-22.7083113,-46.7727168
29168078,-20.1252961,-40.3064477
44067036,-12.2500532,-38.9860623
8532550,-23.5357116,-46.3571894
21941450,-22.9080777,-43.1790268
29172655,-20.1252961,-40.3064477
34004099,-19.9854089,-43.8470691
61600020,-3.734736,-38.654623
38412378,-18.8941408,-48.2622678
6727217,-23.6124139,-46.9248924
35702051,-19.4262871,-44.2413204
13205200,-23.1814232,-46.8962348
86044300,-23.3867557,-51.1298648
36406000,-20.6610118,-43.7865984
33350000,-19.7016368,-43.9613627
30130008,-19.9430898,-43.9231192
19865007,-22.8147486,-50.7936226
65035160,-2.5295265,-44.2963942
27520251,-22.5040429,-44.6439406
28455000,-21.3607889,-41.9424036
75550000,-18.4864065,-49.9887805
16403300,-21.6441223,-49.7680248
5323000,-23.5383214,-46.6391624
2566000,-23.5383214,-46.6391624
39580000,-16.4783516,-43.4927591
86015000,-23.3310063,-51.1521414
46445000,-14.1680272,-43.9262547
3817100,-23.5383214,-46.6391624
3084000,-23.5343071,-46.5697199
12607150,-22.7399965,-45.1183962
21715421,-22.9080777,-43.1790268
40313030,-12.9822499,-38.4812772
53220490,-8.0050198,-34.8681399
35700395,-19.3658239,-44.2018861
50870260,-8.0961422,-34.9320739
7152420,-23.4022638,-46.4689266
3166000,-23.5383214,-46.6391624
76801974,-8.7029077,-63.8744934
64000400,-5.0902277,-42.8129529
11347190,-23.9664177,-46.3861401
6653080,-23.5477925,-46.9344363
18052280,-23.5342452,-47.4944283
38183284,-19.6140057,-46.9263021
